WorkToHome,temperature,dewPoint,precipType,HomeToWork,windSpeed,visibility,cloudCover,time,precipIntensity,summary,precipProbability
2254,52.54,46.32,"rain",2302,1.32,8.35,0.99,2014-10-27T22:10:18.000Z,0.0022,"Overcast",0.14
2297,52.45,46.01,"null",2305,1.43,8.73,0.99,2014-10-27T22:15:17.000Z,0,"Overcast",0
2283,52.38,45.84,"null",2325,1.55,8.73,0.98,2014-10-27T22:20:18.000Z,0,"Overcast",0
2280,52.31,45.68,"null",2296,1.67,8.74,0.98,2014-10-27T22:25:17.000Z,0,"Overcast",0
2321,52.24,45.52,"null",2302,1.79,8.74,0.98,2014-10-27T22:30:17.000Z,0,"Overcast",0
2324,52.26,46.28,"null",2293,1.29,8.74,0.98,2014-10-27T22:35:17.000Z,0,"Overcast",0
2231,52.4,46.25,"null",2280,1.9,8.75,0.98,2014-10-27T22:40:17.000Z,0,"Overcast",0
2221,52.36,46.2,"null",2281,2,8.75,0.98,2014-10-27T22:45:17.000Z,0,"Overcast",0
2306,52.43,46.13,"null",2281,2.1,8.75,0.98,2014-10-27T22:50:17.000Z,0,"Overcast",0
2268,52.39,46.07,"null",2271,2.2,8.76,0.98,2014-10-27T22:55:17.000Z,0,"Overcast",0
2264,52.36,46.01,"null",2258,2.3,8.76,0.98,2014-10-27T23:00:17.000Z,0,"Overcast",0
2246,52.46,46.04,"null",2252,2.38,8.779999999999999,0.98,2014-10-27T23:05:17.000Z,0,"Overcast",0
2215,52.45,46.39,"null",2257,3.27,8.800000000000001,0.98,2014-10-27T23:10:17.000Z,0,"Overcast",0
2240,52.44,46.05,"null",2270,3.32,9.109999999999999,0.99,2014-10-27T23:15:17.000Z,0,"Overcast",0
2228,52.37,45.92,"null",2266,3.52,9.119999999999999,0.99,2014-10-27T23:20:17.000Z,0,"Overcast",0
2210,52.3,45.78,"null",2234,3.72,9.119999999999999,0.99,2014-10-27T23:25:18.000Z,0,"Overcast",0
2214,52.23,45.64,"null",2234,3.93,9.130000000000001,0.99,2014-10-27T23:30:17.000Z,0,"Overcast",0
2215,52.16,45.5,"null",2236,4.14,9.140000000000001,0.99,2014-10-27T23:35:17.000Z,0,"Overcast",0
2218,52.22,45.8,"null",2233,3.95,9.15,0.98,2014-10-27T23:40:17.000Z,0,"Overcast",0
2224,52.4,46.07,"null",2228,3.53,9.15,0.98,2014-10-27T23:45:17.000Z,0,"Overcast",0
